"uri","title","popularity","base_popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","n_artists","n_genres","followers"
"0Acd3qXcGNLOCMu11yzqKW","Déjà vu RMX - Radio Edit",2.0925675337004,41,0.65,0.731,6,-6.525,0,0.052,0.0391,0.242,0.353,0.871,139.75,32027,4,1,1,218
"0B9x2BRHqj3Qer7biM3pU3","You're The One That I Want - From “Grease”",5.13114952665695,69,0.758,0.612,0,-11.403,1,0.0598,0.281,0.00288,0.0954,0.822,106.945,169840,4,2,2,1026619
"0BCPKOYdS2jbQ8iyB56Zns","Clocks",2.67954232129384,93,0.577,0.749,5,-7.215,0,0.0279,0.599,0.0115,0.183,0.255,130.97,307880,4,1,1,33384131
"0BYYqGmANIGbA1oAyUM5Nr","Cudi Zone",1.55746306931022,87,0.706,0.7,9,-5.959,0,0.0337,0.57,1.27e-06,0.249,0.634,134.751,259040,4,1,1,5403769
"0BZoZbffwUSf4cn9gdXX2S","La tipica ragazza italiana - Original Mix",3.30137873271793,61,0.711,0.726,1,-6.882,1,0.172,0.0138,0,0.161,0.748,200.162,194400,4,1,1,154043
"0Bae8u9IyKNsZs7QF3XuzO","G",1.03479295522196,1,0.74,0.678,11,-8.06,1,0.13,0.0937,0,0.145,0.537,82.517,202207,4,1,1,125
"0BeXxjO6mgLDzg4xA6UheO","Blu Celeste",3.54449291421698,79,0.688,0.442,9,-5.611,1,0.0354,0.921,0,0.366,0.252,116.463,206379,4,1,1,471375
"0BxE4FqsDD1Ot4YuBXwAPp","505",1.92157840222405,87,0.526,0.866,0,-5.822,1,0.0568,0.00287,7.78e-05,0.0945,0.248,140.266,253587,4,1,1,13399347
"0ByMNEPAPpOR5H69DVrTNy","Don't Stop The Music",2.43111949760135,91,0.835,0.669,6,-5.582,0,0.0643,0.0336,6.92e-05,0.0535,0.542,122.668,267080,4,1,1,46444731
"0Bytf8dUQ2GJmZ9yW1wyZS","Quiet Wave",0,40,0.114,0.0252,1,-32.784,1,0.0375,0.992,0.958,0.0962,0.0445,68.371,112000,3,1,1,24
